created_at_utc,timestamp,appid,game_title,provider,model,status,folder_path,input_file,output_path,error,duration_sec,response_length
2026-07-19T13:46:28.994035+00:00,20260719_134628,3669200,Guildrun,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-19__appid_3669200__rank_705_to_637__up_68,data/spike_explainer/2026-07-19__appid_3669200__rank_705_to_637__up_68/llm_summary_input.md,data/spike_explainer/2026-07-19__appid_3669200__rank_705_to_637__up_68/llm_outputs/gemini_20260719_134628.md,,21.51,6411
2026-07-20T03:49:02.304428+00:00,20260720_034902,3669200,Guildrun,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-20__appid_3669200__rank_637_to_556__up_81,data/spike_explainer/2026-07-20__appid_3669200__rank_637_to_556__up_81/llm_summary_input.md,data/spike_explainer/2026-07-20__appid_3669200__rank_637_to_556__up_81/llm_outputs/gemini_20260720_034902.md,,22.54,6756
2026-07-20T14:29:41.164650+00:00,20260720_142941,3669200,Guildrun,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-20__appid_3669200__rank_556_to_516__up_40,data/spike_explainer/2026-07-20__appid_3669200__rank_556_to_516__up_40/llm_summary_input.md,data/spike_explainer/2026-07-20__appid_3669200__rank_556_to_516__up_40/llm_outputs/gemini_20260720_142941.md,,18.19,5620
2026-07-21T03:28:13.654049+00:00,20260721_032813,3669200,Guildrun,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-21__appid_3669200__rank_516_to_446__up_70,data/spike_explainer/2026-07-21__appid_3669200__rank_516_to_446__up_70/llm_summary_input.md,data/spike_explainer/2026-07-21__appid_3669200__rank_516_to_446__up_70/llm_outputs/gemini_20260721_032813.md,,14.65,4910
2026-07-21T14:14:57.190402+00:00,20260721_141457,4468030,OFFBEAT,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-21__appid_4468030__rank_1188_to_1017__up_171,data/spike_explainer/2026-07-21__appid_4468030__rank_1188_to_1017__up_171/llm_summary_input.md,data/spike_explainer/2026-07-21__appid_4468030__rank_1188_to_1017__up_171/llm_outputs/gemini_20260721_141457.md,,28.82,5407
2026-07-22T03:26:22.996141+00:00,20260722_032622,4468030,OFFBEAT,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-22__appid_4468030__rank_1017_to_902__up_115,data/spike_explainer/2026-07-22__appid_4468030__rank_1017_to_902__up_115/llm_summary_input.md,data/spike_explainer/2026-07-22__appid_4468030__rank_1017_to_902__up_115/llm_outputs/gemini_20260722_032622.md,,23.46,6280
2026-07-22T14:18:17.095899+00:00,20260722_141817,4282500,hololive Dreams,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-22__appid_4282500__rank_1064_to_903__up_161,data/spike_explainer/2026-07-22__appid_4282500__rank_1064_to_903__up_161/llm_summary_input.md,data/spike_explainer/2026-07-22__appid_4282500__rank_1064_to_903__up_161/llm_outputs/gemini_20260722_141817.md,,14.92,4936
2026-07-23T03:33:08.683992+00:00,20260723_033308,2433630,The Left Behind,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-23__appid_2433630__rank_971_to_926__up_45,data/spike_explainer/2026-07-23__appid_2433630__rank_971_to_926__up_45/llm_summary_input.md,data/spike_explainer/2026-07-23__appid_2433630__rank_971_to_926__up_45/llm_outputs/gemini_20260723_033308.md,,19.34,6434
2026-07-23T14:23:48.764613+00:00,20260723_142348,3825390,BLUE REFLECTION Quartet,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-23__appid_3825390__rank_1101_to_1069__up_32,data/spike_explainer/2026-07-23__appid_3825390__rank_1101_to_1069__up_32/llm_summary_input.md,data/spike_explainer/2026-07-23__appid_3825390__rank_1101_to_1069__up_32/llm_outputs/gemini_20260723_142348.md,,22.33,6112
2026-07-24T03:26:34.007832+00:00,20260724_032634,4964110,Darkest Dungeon®: The Fire's Edge,gemini,gemini-2.5-flash,success,data/spike_explainer/2026-07-24__appid_4964110__rank_1124_to_1057__up_67,data/spike_explainer/2026-07-24__appid_4964110__rank_1124_to_1057__up_67/llm_summary_input.md,data/spike_explainer/2026-07-24__appid_4964110__rank_1124_to_1057__up_67/llm_outputs/gemini_20260724_032634.md,,26.32,6966
