appid,source_url,discount_text,review_summary,image_url,platforms,tags_raw
3260750,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
1723610,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
4012810,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
2708860,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
2828020,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
2768300,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
1173980,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
3875690,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
2131860,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
3973300,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
1636440,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
1672320,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
1798230,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=8,,,,win,
3629430,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
1327040,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
2713000,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
914210,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,"win,mac,linux",
3787240,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
612400,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,"win,mac",
3115160,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
2536510,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
1067360,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
2315050,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
1551980,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
2388620,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,"win,mac,linux",
2192380,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
3859630,https://store.steampowered.com/search/?filter=popularwishlist&ignore_preferences=1&page=9,,,,win,
